50kv3_Long_14June2019.txt Summary
Sample	Total SNPs	SNPs with genotypes	Homozygous	Heterozygous	Indels	Consistent genotypes	Inconsistent genotypes	Equivalent genotypes	Inequivalent genotypes
Sample1	21	19 (90.48)	15 (78.95)	4 (21.05)	0 (0.0)	19	0	190	0
Sample2	21	19 (90.48)	14 (73.68)	5 (26.32)	0 (0.0)	19	0	190	0
Sample3	21	19 (90.48)	12 (63.16)	7 (36.84)	0 (0.0)	19	0	190	0
Sample4	21	19 (90.48)	11 (57.89)	8 (42.11)	0 (0.0)	19	0	190	0
Sample5	21	19 (90.48)	11 (57.89)	8 (42.11)	0 (0.0)	19	0	190	0
Sample6	21	19 (90.48)	13 (68.42)	6 (31.58)	0 (0.0)	19	0	190	0
Sample7	21	19 (90.48)	10 (52.63)	9 (47.37)	0 (0.0)	19	0	190	0
Sample8	21	19 (90.48)	14 (73.68)	5 (26.32)	0 (0.0)	19	0	190	0
Sample9	21	19 (90.48)	15 (78.95)	4 (21.05)	0 (0.0)	19	0	190	0
Sample10	21	19 (90.48)	15 (78.95)	4 (21.05)	0 (0.0)	19	0	190	0
